Index,Eigenvalue,Difference,Proportion,Cumulative,AUC
1,1.9516407029769445,-0.8497909350721224,0.1951070880873886,0.1951070880873886,0.6016223200612557
2,1.101849767904822,-0.015866209916272078,0.11015280599433902,0.3052598940817276,0.7037471286370597
3,1.08598355798855,-0.03679244153125705,0.10856664824971667,0.4138265423314443,0.7547377488514548
4,1.049191116457293,-0.05403932982336446,0.10488847832846049,0.5187150206599047,0.7195265202855335
5,0.9951517866339284,-0.06730875761230581,0.09948612313677582,0.6182011437966806,0.701884186642991
6,0.9278430290216226,-0.0582140014798882,0.09275721259474559,0.7109583563914261,0.715841997176229
7,0.8696290275417344,-0.0333479474261813,0.0869375121256321,0.7978958685170582,0.7098901098901098
8,0.8362810801155531,-0.0647441242148652,0.08360369104571254,0.8814995595627707,0.701514014014014
9,0.7715369559006879,-0.35772341969416477,0.07713116896361916,0.9586307285263899,0.7771236333052987
10,0.41381353620652317,,0.0413692714736098,0.9999999999999997,0.7153761485451762
